Gate,X Parameter,Y Parameter,Count,%Total,%Gated
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4248,42.480,42.480
R1,FSC-H,SSC-H,4248,42.480,42.480
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3310,33.100,77.919
mCherry+/GFP+,YL2-A,BL1-A,24,0.240,0.565
mCherry-/GFP-,YL2-A,BL1-A,715,7.150,16.831
mCherry+/GFP-,YL2-A,BL1-A,199,1.990,4.685
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4248,42.480,42.480
R2,BL1-A,YL2-A,41,0.410,64.063
R4,BL1-A,YL2-A,5,0.050,7.813
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,64,0.640,0.640
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,41,0.410,0.410
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2632,26.320,26.320
R3,BL1-A,YL2-A,2632,26.320,82.173
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3203,32.030,32.030
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,5,0.050,0.050
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4248,42.480,42.480
LG1,,,64,0.640,0.640
GFP+,BL1-A,,3570,35.700,78.118
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4570,45.700,45.700
mCh+,YL2-A,,110,1.100,2.407
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4570,45.700,45.700
R1,FSC-H,SSC-H,4570,45.700,45.700
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3646,36.460,79.781
mCherry+/GFP+,YL2-A,BL1-A,38,0.380,0.832
mCherry-/GFP-,YL2-A,BL1-A,637,6.370,13.939
mCherry+/GFP-,YL2-A,BL1-A,249,2.490,5.449
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4570,45.700,45.700
R2,BL1-A,YL2-A,76,0.760,69.091
R4,BL1-A,YL2-A,12,0.120,10.909
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,110,1.100,1.100
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,76,0.760,0.760
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2967,29.670,29.670
R3,BL1-A,YL2-A,2967,29.670,83.109
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3570,35.700,35.700
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,12,0.120,0.120
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4570,45.700,45.700
LG1,,,110,1.100,1.100
GFP+,BL1-A,,3765,37.650,73.983
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5089,50.890,50.890
mCh+,YL2-A,,170,1.700,3.341
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5089,50.890,50.890
R1,FSC-H,SSC-H,5089,50.890,50.890
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3745,37.450,73.590
mCherry+/GFP+,YL2-A,BL1-A,79,0.790,1.552
mCherry-/GFP-,YL2-A,BL1-A,568,5.680,11.161
mCherry+/GFP-,YL2-A,BL1-A,697,6.970,13.696
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5089,50.890,50.890
R2,BL1-A,YL2-A,110,1.100,64.706
R4,BL1-A,YL2-A,30,0.300,17.647
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,170,1.700,1.700
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,110,1.100,1.100
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3029,30.290,30.290
R3,BL1-A,YL2-A,3029,30.290,80.452
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3765,37.650,37.650
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,30,0.300,0.300
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5089,50.890,50.890
LG1,,,170,1.700,1.700
GFP+,BL1-A,,1612,16.120,29.502
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5464,54.640,54.640
mCh+,YL2-A,,1087,10.870,19.894
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5464,54.640,54.640
R1,FSC-H,SSC-H,5464,54.640,54.640
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1447,14.470,26.482
mCherry+/GFP+,YL2-A,BL1-A,198,1.980,3.624
mCherry-/GFP-,YL2-A,BL1-A,421,4.210,7.705
mCherry+/GFP-,YL2-A,BL1-A,3398,33.980,62.189
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5464,54.640,54.640
R2,BL1-A,YL2-A,843,8.430,77.553
R4,BL1-A,YL2-A,73,0.730,6.716
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1087,10.870,10.870
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,843,8.430,8.430
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1171,11.710,11.710
R3,BL1-A,YL2-A,1171,11.710,72.643
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1612,16.120,16.120
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,73,0.730,0.730
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5464,54.640,54.640
LG1,,,1087,10.870,10.870
GFP+,BL1-A,,3311,33.110,77.215
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4288,42.880,42.880
mCh+,YL2-A,,96,0.960,2.239
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4288,42.880,42.880
R1,FSC-H,SSC-H,4288,42.880,42.880
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3441,34.410,80.247
mCherry+/GFP+,YL2-A,BL1-A,28,0.280,0.653
mCherry-/GFP-,YL2-A,BL1-A,564,5.640,13.153
mCherry+/GFP-,YL2-A,BL1-A,255,2.550,5.947
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4288,42.880,42.880
R2,BL1-A,YL2-A,59,0.590,61.458
R4,BL1-A,YL2-A,12,0.120,12.500
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,96,0.960,0.960
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,59,0.590,0.590
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2721,27.210,27.210
R3,BL1-A,YL2-A,2721,27.210,82.181
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3311,33.110,33.110
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,12,0.120,0.120
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4288,42.880,42.880
LG1,,,96,0.960,0.960
GFP+,BL1-A,,5038,50.380,82.334
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6119,61.190,61.190
mCh+,YL2-A,,133,1.330,2.174
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6119,61.190,61.190
R1,FSC-H,SSC-H,6119,61.190,61.190
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5095,50.950,83.265
mCherry+/GFP+,YL2-A,BL1-A,54,0.540,0.882
mCherry-/GFP-,YL2-A,BL1-A,618,6.180,10.100
mCherry+/GFP-,YL2-A,BL1-A,352,3.520,5.753
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6119,61.190,61.190
R2,BL1-A,YL2-A,78,0.780,58.647
R4,BL1-A,YL2-A,18,0.180,13.534
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,133,1.330,1.330
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,78,0.780,0.780
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4156,41.560,41.560
R3,BL1-A,YL2-A,4156,41.560,82.493
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5038,50.380,50.380
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,18,0.180,0.180
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6119,61.190,61.190
LG1,,,133,1.330,1.330
GFP+,BL1-A,,4453,44.530,80.905
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5504,55.040,55.040
mCh+,YL2-A,,107,1.070,1.944
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5504,55.040,55.040
R1,FSC-H,SSC-H,5504,55.040,55.040
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,4482,44.820,81.432
mCherry+/GFP+,YL2-A,BL1-A,45,0.450,0.818
mCherry-/GFP-,YL2-A,BL1-A,509,5.090,9.248
mCherry+/GFP-,YL2-A,BL1-A,468,4.680,8.503
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5504,55.040,55.040
R2,BL1-A,YL2-A,73,0.730,68.224
R4,BL1-A,YL2-A,17,0.170,15.888
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,107,1.070,1.070
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,73,0.730,0.730
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3733,37.330,37.330
R3,BL1-A,YL2-A,3733,37.330,83.831
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4453,44.530,44.530
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,17,0.170,0.170
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5504,55.040,55.040
LG1,,,107,1.070,1.070
GFP+,BL1-A,,400,4.000,28.839
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,1387,13.870,13.870
mCh+,YL2-A,,201,2.010,14.492
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,1387,13.870,13.870
R1,FSC-H,SSC-H,1387,13.870,13.870
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,394,3.940,28.407
mCherry+/GFP+,YL2-A,BL1-A,12,0.120,0.865
mCherry-/GFP-,YL2-A,BL1-A,98,0.980,7.066
mCherry+/GFP-,YL2-A,BL1-A,883,8.830,63.663
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,1387,13.870,13.870
R2,BL1-A,YL2-A,197,1.970,98.010
R4,BL1-A,YL2-A,3,0.030,1.493
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,201,2.010,2.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,197,1.970,1.970
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,324,3.240,3.240
R3,BL1-A,YL2-A,324,3.240,81.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,400,4.000,4.000
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,3,0.030,0.030
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,1387,13.870,13.870
LG1,,,201,2.010,2.010
GFP+,BL1-A,,5078,50.780,83.287
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6097,60.970,60.970
mCh+,YL2-A,,157,1.570,2.575
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6097,60.970,60.970
R1,FSC-H,SSC-H,6097,60.970,60.970
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5194,51.940,85.189
mCherry+/GFP+,YL2-A,BL1-A,60,0.600,0.984
mCherry-/GFP-,YL2-A,BL1-A,552,5.520,9.054
mCherry+/GFP-,YL2-A,BL1-A,291,2.910,4.773
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6097,60.970,60.970
R2,BL1-A,YL2-A,85,0.850,54.140
R4,BL1-A,YL2-A,35,0.350,22.293
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,157,1.570,1.570
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,85,0.850,0.850
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4134,41.340,41.340
R3,BL1-A,YL2-A,4134,41.340,81.410
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5078,50.780,50.780
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,35,0.350,0.350
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6097,60.970,60.970
LG1,,,157,1.570,1.570
GFP+,BL1-A,,4,0.040,1.471
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,272,2.720,2.720
mCh+,YL2-A,,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,272,2.720,2.720
R1,FSC-H,SSC-H,272,2.720,2.720
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,4,0.040,1.471
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,268,2.680,98.529
mCherry+/GFP-,YL2-A,BL1-A,0,0.000,0.000
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,272,2.720,2.720
R2,BL1-A,YL2-A,0,0.000,N/A
R4,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3,0.030,0.030
R3,BL1-A,YL2-A,3,0.030,75.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4,0.040,0.040
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,272,2.720,2.720
LG1,,,0,0.000,0.000
GFP+,BL1-A,,3,0.030,0.602
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,498,4.980,4.980
mCh+,YL2-A,,2,0.020,0.402
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,498,4.980,4.980
R1,FSC-H,SSC-H,498,4.980,4.980
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3,0.030,0.602
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,492,4.920,98.795
mCherry+/GFP-,YL2-A,BL1-A,3,0.030,0.602
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,498,4.980,4.980
R2,BL1-A,YL2-A,2,0.020,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,2,0.020,0.020
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,2,0.020,0.020
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2,0.020,0.020
R3,BL1-A,YL2-A,2,0.020,66.667
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3,0.030,0.030
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,498,4.980,4.980
LG1,,,2,0.020,0.020
GFP+,BL1-A,,3247,32.470,77.273
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4202,42.020,42.020
mCh+,YL2-A,,77,0.770,1.832
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4202,42.020,42.020
R1,FSC-H,SSC-H,4202,42.020,42.020
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3335,33.350,79.367
mCherry+/GFP+,YL2-A,BL1-A,31,0.310,0.738
mCherry-/GFP-,YL2-A,BL1-A,642,6.420,15.278
mCherry+/GFP-,YL2-A,BL1-A,194,1.940,4.617
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4202,42.020,42.020
R2,BL1-A,YL2-A,42,0.420,54.545
R4,BL1-A,YL2-A,12,0.120,15.584
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,77,0.770,0.770
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,42,0.420,0.420
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2678,26.780,26.780
R3,BL1-A,YL2-A,2678,26.780,82.476
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3247,32.470,32.470
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,12,0.120,0.120
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4202,42.020,42.020
LG1,,,77,0.770,0.770
GFP+,BL1-A,,5340,53.400,84.816
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6296,62.960,62.960
mCh+,YL2-A,,96,0.960,1.525
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6296,62.960,62.960
R1,FSC-H,SSC-H,6296,62.960,62.960
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5407,54.070,85.880
mCherry+/GFP+,YL2-A,BL1-A,63,0.630,1.001
mCherry-/GFP-,YL2-A,BL1-A,659,6.590,10.467
mCherry+/GFP-,YL2-A,BL1-A,167,1.670,2.652
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6296,62.960,62.960
R2,BL1-A,YL2-A,27,0.270,28.125
R4,BL1-A,YL2-A,31,0.310,32.292
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,96,0.960,0.960
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,27,0.270,0.270
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4339,43.390,43.390
R3,BL1-A,YL2-A,4339,43.390,81.255
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5340,53.400,53.400
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,31,0.310,0.310
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6296,62.960,62.960
LG1,,,96,0.960,0.960
GFP+,BL1-A,,3621,36.210,73.196
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,4947,49.470,49.470
mCh+,YL2-A,,200,2.000,4.043
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,4947,49.470,49.470
R1,FSC-H,SSC-H,4947,49.470,49.470
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3609,36.090,72.953
mCherry+/GFP+,YL2-A,BL1-A,87,0.870,1.759
mCherry-/GFP-,YL2-A,BL1-A,596,5.960,12.048
mCherry+/GFP-,YL2-A,BL1-A,655,6.550,13.240
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,4947,49.470,49.470
R2,BL1-A,YL2-A,139,1.390,69.500
R4,BL1-A,YL2-A,19,0.190,9.500
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,200,2.000,2.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,139,1.390,1.390
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,2963,29.630,29.630
R3,BL1-A,YL2-A,2963,29.630,81.828
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3621,36.210,36.210
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,19,0.190,0.190
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,4947,49.470,49.470
LG1,,,200,2.000,2.000
GFP+,BL1-A,,1033,10.330,28.887
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,3576,35.760,35.760
mCh+,YL2-A,,724,7.240,20.246
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,3576,35.760,35.760
R1,FSC-H,SSC-H,3576,35.760,35.760
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,988,9.880,27.629
mCherry+/GFP+,YL2-A,BL1-A,81,0.810,2.265
mCherry-/GFP-,YL2-A,BL1-A,432,4.320,12.081
mCherry+/GFP-,YL2-A,BL1-A,2075,20.750,58.026
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,3576,35.760,35.760
R2,BL1-A,YL2-A,617,6.170,85.221
R4,BL1-A,YL2-A,32,0.320,4.420
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,724,7.240,7.240
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,617,6.170,6.170
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,804,8.040,8.040
R3,BL1-A,YL2-A,804,8.040,77.832
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,1033,10.330,10.330
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,32,0.320,0.320
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,3576,35.760,35.760
LG1,,,724,7.240,7.240
GFP+,BL1-A,,2124,21.240,76.929
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,2761,27.610,27.610
mCh+,YL2-A,,45,0.450,1.630
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,2761,27.610,27.610
R1,FSC-H,SSC-H,2761,27.610,27.610
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,2195,21.950,79.500
mCherry+/GFP+,YL2-A,BL1-A,10,0.100,0.362
mCherry-/GFP-,YL2-A,BL1-A,420,4.200,15.212
mCherry+/GFP-,YL2-A,BL1-A,136,1.360,4.926
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,2761,27.610,27.610
R2,BL1-A,YL2-A,35,0.350,77.778
R4,BL1-A,YL2-A,4,0.040,8.889
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,45,0.450,0.450
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,35,0.350,0.350
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1758,17.580,17.580
R3,BL1-A,YL2-A,1758,17.580,82.768
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,2124,21.240,21.240
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,4,0.040,0.040
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,2761,27.610,27.610
LG1,,,45,0.450,0.450
GFP+,BL1-A,,5511,55.110,85.895
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,6416,64.160,64.160
mCh+,YL2-A,,66,0.660,1.029
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,6416,64.160,64.160
R1,FSC-H,SSC-H,6416,64.160,64.160
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5576,55.760,86.908
mCherry+/GFP+,YL2-A,BL1-A,42,0.420,0.655
mCherry-/GFP-,YL2-A,BL1-A,633,6.330,9.866
mCherry+/GFP-,YL2-A,BL1-A,165,1.650,2.572
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,6416,64.160,64.160
R2,BL1-A,YL2-A,29,0.290,43.939
R4,BL1-A,YL2-A,19,0.190,28.788
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,66,0.660,0.660
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,29,0.290,0.290
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4571,45.710,45.710
R3,BL1-A,YL2-A,4571,45.710,82.943
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5511,55.110,55.110
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,19,0.190,0.190
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,6416,64.160,64.160
LG1,,,66,0.660,0.660
GFP+,BL1-A,,2255,22.550,74.743
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,3017,30.170,30.170
mCh+,YL2-A,,108,1.080,3.580
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,3017,30.170,30.170
R1,FSC-H,SSC-H,3017,30.170,30.170
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,2279,22.790,75.539
mCherry+/GFP+,YL2-A,BL1-A,20,0.200,0.663
mCherry-/GFP-,YL2-A,BL1-A,296,2.960,9.811
mCherry+/GFP-,YL2-A,BL1-A,422,4.220,13.987
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,3017,30.170,30.170
R2,BL1-A,YL2-A,93,0.930,86.111
R4,BL1-A,YL2-A,7,0.070,6.481
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,108,1.080,1.080
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,93,0.930,0.930
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1890,18.900,18.900
R3,BL1-A,YL2-A,1890,18.900,83.814
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,2255,22.550,22.550
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,7,0.070,0.070
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,3017,30.170,30.170
LG1,,,108,1.080,1.080
GFP+,BL1-A,,90,0.900,78.261
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,115,1.150,1.150
mCh+,YL2-A,,2,0.020,1.739
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,115,1.150,1.150
R1,FSC-H,SSC-H,115,1.150,1.150
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,91,0.910,79.130
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.870
mCherry-/GFP-,YL2-A,BL1-A,20,0.200,17.391
mCherry+/GFP-,YL2-A,BL1-A,3,0.030,2.609
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,115,1.150,1.150
